id,year,quantity
775,1989,24
776,1986,2
777,2008,546
779,2005,500
780,2003,97
782,1979,172
783,2008,166
786,2011,29
788,2007,79
789,2008,23
791,2000,12
792,1977,4
793,2011,26
794,1999,37
795,2007,110
796,1990,95
799,1979,162
800,2001,17
801,2010,251
802,1958,6
803,1986,524
804,1958,30
805,1997,2
807,1990,52
808,1989,140
811,2000,26
814,1997,64
815,2001,21
818,1976,61
819,2012,4
820,2008,783
826,1974,181
827,2011,1
829,2007,25
831,2016,100
832,2013,428
833,2009,173
835,2003,3
838,2003,556
839,1996,81
840,2013,2
841,1989,4
842,1956,6
845,2016,337
846,1995,88
847,2014,65
848,1996,283
850,2017,142
852,2014,28
854,1996,10
856,2016,3
859,1985,195
860,2013,237
861,2008,60
862,2014,63
865,2005,1000
866,2005,186
867,2003,72
869,1987,1
870,1997,11
871,1958,14
874,1984,1
879,2002,79
881,1997,121
882,1966,5
883,2017,77
885,1973,83
887,2016,44
888,2000,100
891,2002,295
893,1973,191
894,1993,69
896,2013,1
898,1976,141
903,1974,220
906,2007,136
907,1996,119
911,2017,47
913,2014,29
915,2015,3
918,2011,112
924,1991,21
926,2000,30
927,1998,46
928,1994,232
929,2003,109
930,2015,2
931,2001,229
932,1980,50
934,2005,4
935,2003,169
937,2015,58
941,2009,166
944,1973,34
946,2007,154
948,2015,39
950,2000,25
951,2001,368
952,2010,359
953,2014,156
954,2008,130
955,2016,1000
956,2014,212
957,1966,9
964,2010,40
966,2012,57
968,2013,31
970,2012,87
972,2003,30
974,2009,430
976,2006,890
977,1980,1
978,1955,23
980,2014,326
981,1957,45
982,2005,500
984,2013,68
985,2007,712
986,2014,63
987,2013,36
988,1980,91
989,1989,36
990,2010,41
993,1997,20
995,2007,618
997,2001,25
998,1978,281
1000,1995,174
1001,2005,50
1002,2009,197
1003,2006,58
1004,1989,6
1006,1986,16
1008,1995,114
1010,1995,35
1011,2003,2
1012,1991,10
1013,1998,55
1014,2008,3
1015,2016,8
1016,2014,111
1018,2006,411
1019,1958,21
1021,2008,268
1022,2002,79
1023,2003,1
1025,1997,147
1026,1981,160
1027,1987,35
1028,2008,500
1030,2009,92
1031,1997,467
1032,2016,176
1033,2013,3
1036,2001,19
1038,2000,25
1039,1982,4
1040,2006,21
1041,1987,26
1043,2003,229
1044,2008,96
1045,1992,126
1046,1988,25
1047,1955,59
1049,1972,2
1054,1971,18
1058,2013,30
1059,1996,8
1062,1958,6
1063,2000,25
