year,set_num,id,version
1985,1021-1,26820,1
2010,10211-1,6619,1
2010,10212-1,7299,1
2010,10213-1,9519,1
2010,10213sup-1,4567,1
2010,10214-1,11520,1
2010,10214-1,35420,2
2010,10215-1,2268,1
2010,10216-1,2996,1
2010,10216-1,35438,2
2011,10217-1,14029,1
2011,10217-1,43287,2
2011,10218-1,14858,1
2011,10219-1,8986,1
1971,102-2,90011,1
2011,10220-1,15963,1
2011,10220-1,109209,2
1985,1022-1,26821,1
2011,10221-1,15131,1
2011,10221-1,80641,2
2011,10222-1,330,1
2012,10223-1,15599,1
2012,10224-1,7420,1
2012,10225-1,4094,1
2012,10226-1,1119,1
2012,10226-1,20188,2
2012,10227-1,1189,1
2012,10228-1,505,1
2012,10229-1,15476,1
1969,102-3,25445,1
2012,10230-1,12633,1
1985,1023-1,29243,1
2011,10231-1,7748,1
2013,10232-1,11999,1
2013,10233-1,1770,1
2013,10234-1,2796,1
2013,10235-1,9390,1
2013,10235-1,34541,2
2013,10236-1,6146,1
2013,10237-1,4586,1
2013,10240-1,5516,1
1985,1024-1,29242,1
2014,10241-1,7219,1
2014,10242-1,5889,1
2015,10242-2,15553,1
2014,10243-1,8683,1
2014,10244-1,2126,1
2014,10244-1,95530,2
2014,10245-1,9616,1
2014,10245-1,81456,2
2001,1024601-1,2814,1
2015,10246-1,15538,1
2015,10247-1,9971,1
2015,10248-1,14806,1
2015,10249-1,5213,1
2013,10250-1,11285,1
1985,1025-1,26822,1
2016,10251-1,11002,1
2016,10251-1,94850,2
2016,10252-1,4580,1
2016,10252-1,45258,2
2016,10253-1,11169,1
2016,10254-1,10901,1
2016,10254-1,35900,2
2017,10255-1,1305,1
2017,10256-1,20602,1
2017,10257-1,18479,1
2017,10257-1,71249,2
2017,10258-1,19123,1
2017,10259-1,20036,1
2018,10260-1,21145,1
1985,1026-1,26371,1
2018,10261-1,25242,2
2018,10262-1,26139,1
2018,10262-1,122472,3
2018,10263-1,27730,1
2019,10264-1,30387,1
2019,10265-1,32844,1
2019,10266-1,36046,1
2019,10267-1,40165,1
2018,10268-1,28433,1
2019,10269-1,37258,1
2020,10270-1,43322,1
2020,10270-1,106902,2
1985,1027-1,26823,1
1985,1027-1,107962,2
2020,10271-1,47893,1
2020,10272-1,45169,1
2020,10273-1,61403,1
2020,10274-1,78513,1
2020,10274-1,105150,2
2020,10275-1,73346,1
2020,10275-1,122013,2
2020,10276-1,77052,1
2020,10277-1,66844,1
2021,10278-1,80393,1
