HomeTeam,AwayTeam,FTH_Goals,FTA_Goals,Result,B365H,B365D,B365A,poisH,poisD,poisA,prH,prD,prA,B365_Sucess,ML_Sucess,poisson_Sucess,ML_B365,ML_Home_DrawAway,B365_Home_DrawAway,poisson_Home_DrawAway,ML_Home_DrawAway_Foc
Everton,Leeds,0.0,1.0,2.0,1.95,3.8,3.6,1.659,4.285,6.109,2.63,3.45,3.03,0,0,0,-,0,0,0,0
Leicester,Fulham,1.0,2.0,2.0,1.5,4.33,6.5,1.66,4.564,5.604,1.79,3.45,6.67,0,0,0,-,0,0,0,0
